"","network.indiv","network.sp"
"connectance",0.0270439377085651,0.196774193548387
"web asymmetry",-0.578231292517007,0.722222222222222
"links per species",1.32312925170068,1.69444444444444
"number of compartments",7,2
"compartment diversity",1.2966102204153,1.13533816051868
"cluster coefficient",0.0129310344827586,0.15
"nestedness",2.04798250022249,20.8772273685983
"weighted nestedness",0.502388326031962,0.417719247818307
"weighted NODF",2.26219419097175,16.5782318688917
"interaction strength asymmetry",-0.245335876377003,0.228111370724347
"specialisation asymmetry",0.30731859160186,-0.215003688111219
"linkage density",10.7868047463369,4.92513733059514
"weighted connectance",0.0366898120623703,0.0684046851471548
"Fisher alpha",424.293374701277,44.8171649890239
"Shannon diversity",5.74511797316865,3.77690752011376
"interaction evenness",0.600083030059521,0.587414043958508
"Alatalo interaction evenness",0.761300091098133,0.430043770026441
"H2",0.557642490728767,0.602786317440322
"number.of.species.HL",62,62
"number.of.species.LL",232,10
"mean.number.of.shared.partners.HL",0.118455843469064,0.570597567424643
"mean.number.of.shared.partners.LL",0.13423645320197,2.42222222222222
"cluster.coefficient.HL",0.103035511286743,0.353061224489796
"cluster.coefficient.LL",0.0347394540942928,0.284828075150656
"weighted.cluster.coefficient.HL",0.0193706152046203,0.867421986660314
"weighted.cluster.coefficient.LL",0.262599228850079,0.280184686763816
"niche.overlap.HL",0.0136710089790568,0.226919633443133
"niche.overlap.LL",0.0808723247795686,0.114615083495665
"togetherness.HL",0.00288556350093643,0.141089370703332
"togetherness.LL",0.0236364791475629,0.0842203548085901
"C.score.HL",0.9600355850707,0.580745784123627
"C.score.LL",0.887264838450183,0.642544669083348
"V.ratio.HL",13.694643700872,1.17259651778955
"V.ratio.LL",0.518514486179157,8.99545454545455
"discrepancy.HL",313,56
"discrepancy.LL",330,58
"extinction.slope.HL",1.51984865409795,6.93441856333235
"extinction.slope.LL",2.56202393910587,1.54845324696615
"robustness.HL",0.601951165924805,0.848414032000881
"robustness.LL",0.711601308003759,0.607502571865337
"functional.complementarity.HL",241.188701138133,490.737927418237
"functional.complementarity.LL",305.749604587264,430.339996707101
"partner.diversity.HL",2.66672088283654,0.69851042978165
"partner.diversity.LL",0.559348294195867,1.89025251917622
"generality.HL",19.6194511738604,2.19219083974662
"vulnerability.LL",1.95415831881337,7.65808382144367
