"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d","uniID","X","Site","Date","Waypoint","Species","Height","N.flowers","Time","NN","NN.id","dist.lar","LT","AS","EC","SD","SM","SC","PP","HH","EL","LOTUS","BW","Quantity","density","shrub.density","cactus.density","con.density","het.density","site.density","site.shrub.density","site.cactus.density","S","S.1"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP 1",1,"low","4.21.2018",1,"PP",20,5,"",450,"AS",67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0,0,1
"2",3,0.230769230769231,0.658333333333333,-0.113888888888889,0.0571428571428571,0.916666666666667,0.568257570707744,0.833333333333333,1,1.80882352941176,0.041049976519065,0.0171249023854779,0.0111232180150731,0.00483030787059225,NA,1.03972077083992,2.82842712474619,0.0926829268292683,0.719376669232343,0.604669746114676,"PP 2",2,"low","4.21.2018",2,"PP",19,11,"",1110,"HH",18,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0,0,2
"3",1,0.0769230769230769,0.0327868852459016,-0.967213114754098,0.542857142857143,1,1,1,1,1.51470588235294,0,0,0.0137564696268047,0.00886881951154989,NA,0,1,0.297560975609756,0.254338060520791,0.223439994564958,"HH 4",3,"low","4.21.2018",4,"HH",25,2,"",275,"LT",83,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0,0,2
"4",1,0.0769230769230769,0.00917431192660551,-0.990825688073395,0.785714285714286,1,1,1,1,1.42647058823529,0,0,0.0147552892036684,0.00502444781655707,NA,0,1,0.531707317073171,0.254338060520791,0,"PP 9",4,"low","4.21.2018",9,"PP",24,2,"12:20",30,"PP",164,0,0,1,0,0,0,1,0,0,0,0,1,2,1,1,1,0,0.0194444444444444,0.0194444444444444,0,2,4
"5",1,0.0769230769230769,0.00917431192660551,-0.990825688073395,0.757142857142857,1,1,1,1,1.42647058823529,0,0,0.0147552892036684,0.00502444781655707,NA,0,1,0.531707317073171,0.254338060520791,0,"PP 15",5,"low","4.21.2018",15,"PP",18,2,"2:38",310,"EL",20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0,0,2
"6",2,0.153846153846154,0.0255677545495563,-0.487216122725222,0.271428571428571,0.916666666666667,0.67700320038633,0.916666666666667,1,1.13235294117647,0.0295774567875051,0,0.0172977390356851,0.00815773376006705,NA,0.693147180559945,2,0.797560975609756,0.508676121041581,0,"PP 17",6,"up","4.21.2018",17,"PP",29,2,"",600,"EC",43,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0,0,2
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP 18",7,"up","4.21.2018",18,"PP",28,3,"3:37",1810,"PP",60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0,0,1
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP 21",8,"up","4.22.2018",21,"PP",22,1,"9:01",100,"PP",60,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,NA,NA,NA,1,2
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP 24",9,"up","4.22.2018",24,"PP",30,2,"9:55",495,"SD",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,1
"10",2,0.153846153846154,0.0439163784027673,-0.478041810798616,0.185714285714286,0.972222222222222,0.770551750371122,0.916666666666667,1,1.13235294117647,0.0295774567875051,0,0.0172977390356851,0.0126522364707085,NA,0.562335144618808,1.75476535060332,0.781707317073171,0.446303615941535,0,"PP 27",10,"low","4.22.2018",27,"PP",32,3,"10:50",170,"AS",71,0,2,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,NA,NA,NA,1,2
"11",4,0.307692307692308,1.22556775454956,0.0563919386373891,0,0.75,0.433012701892219,0.75,1,1.08823529411765,0.111532989451253,0.0764443265703045,0.0177063470444021,0.0085004002280578,NA,1.38629436111989,4,0.529268292682927,1.01735224208316,0.300718432038759,"PP 31",11,"low","4.22.2018",31,"PP",28,7,"11:57",230,"AS",166,0,4,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,NA,NA,NA,1,2
"12",1,0.0769230769230769,0.018348623853211,-0.981651376146789,0.557142857142857,1,1,1,1,1.42647058823529,0,0,0.0147552892036684,0.00865915474768347,NA,0,1,0.531707317073171,0.254338060520791,0.0915473804546453,"PP 53",12,"","4.23.2018",53,"PP",34,3,"11:03",5,"SM",220,0,0,0,0,2,0,0,0,0,1,0,2,3,3,0,0,0,0.05,0.05,0,2,4
"13",1,0.0769230769230769,0.018348623853211,-0.981651376146789,0.571428571428571,1,1,1,1,1.42647058823529,0,0,0.0147552892036684,0.00865915474768347,NA,0,1,0.531707317073171,0.254338060520791,0.0915473804546453,"PP 55",13,"low","4.23.2018",55,"PP",23,1,"11:51",200,"LT",54,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.05,0.05,0,0,2
"14",2,0.153846153846154,0.134174311926606,-0.432912844036697,0.3,0.916666666666667,0.67700320038633,0.916666666666667,1,1.33823529411765,0.0341273929092626,0.00523803209123458,0.0153909016616726,0.00689018521119283,NA,0.693147180559945,2,0.539024390243902,0.508676121041581,0.230786315207719,"PP 70",14,"UP","4.24.2018",70,"PP",29,25,"8:59",160,"SM",101,0,0,0,0,3,0,0,0,0,0,0,2,3,3,0,0,0,0.0385,0.036,0.0015,1,3
"15",1,0.0769230769230769,0.125,-0.875,0.771428571428571,1,1,1,1,1.91176470588235,0,0,0.0101697993280668,0.00453881345510546,NA,0,1,0.0390243902439024,0.254338060520791,0.556749660463942,"PP 72",15,"UP","4.24.2018",72,"PP",19,5,"9:31",55,"SM",119,0,0,0,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0.0385,0.036,0.0015,1,3
"16",1,0.0769230769230769,0.0327868852459016,-0.967213114754098,0.585714285714286,1,1,1,1,1.51470588235294,0,0,0.0137564696268047,0.00886881951154989,NA,0,1,0.297560975609756,0.254338060520791,0.223439994564958,"PP 74",16,"UP","4.24.2018",74,"PP",35,16,"9:58",160,"AS",114,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0.0385,0.036,0.0015,1,2
"17",2,0.153846153846154,0.516393442622951,-0.241803278688525,0.314285714285714,0.916666666666667,0.67700320038633,0.916666666666667,1,1.5,0.00807365439093484,0.00172759286272083,0.013892672296377,0.00515890487080297,NA,0.693147180559945,2,0.307317073170732,0.508676121041581,0.454226309772677,"PP 77",17,"","4.24.2018",77,"PP",19,1,"10:51",0,"AS",218,0,3,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0.0385,0.036,0.0015,1,2
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP 80",18,"","4.24.2018",80,"PP",23,1,"11:39",90,"AS",16,0,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0.0385,0.036,0.0015,1,1
"19",3,0.230769230769231,0.185309821025718,-0.271563392991427,0.0285714285714286,0.916666666666667,0.581345820457121,0.833333333333333,1,1.07352941176471,0.0893107672290309,0.126853939206412,0.0178425497139744,0.0142633273297123,NA,1.01140426470735,2.74945927399721,0.836585365853659,0.699292139229351,0.0180779703765978,"SC 87",19,"","4.24.2018",87,"SC",70,12,"1:53",230,"AS",45,0,1,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0.0385,0.036,0.0015,1,2
"20",2,0.153846153846154,0.351681957186544,-0.324159021406728,0.242857142857143,0.958333333333333,0.720082299823096,0.916666666666667,1,1.42647058823529,0,0,0.0147552892036684,0.00872100585302406,NA,0.636514168294813,1.88988157484231,0.546341463414634,0.480668814359371,0.248797645130628,"SC 88",20,"","4.24.2018",88,"SC",70,9,"2:20",230,"AS",75,0,2,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0.0385,0.036,0.0015,1,2
"21",1,0.0769230769230769,0.018348623853211,-0.981651376146789,0.728571428571429,1,1,1,1,1.42647058823529,0,0,0.0147552892036684,0.00865915474768347,NA,0,1,0.531707317073171,0.254338060520791,0.0915473804546453,"SC 93",21,"","4.24.2018",93,"SC",57,17,"3:51",190,"SM",55,0,0,1,0,1,0,0,0,0,0,0,2,2,2,0,0,0,0.0385,0.036,0.0015,2,4
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP 95",22,"","4.24.2018",95,"PP",20,10,"",0,"LT",2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0385,0.036,0.0015,1,2
"23",1,0.0769230769230769,0.0327868852459016,-0.967213114754098,0.6,1,1,1,1,1.51470588235294,0,0,0.0137564696268047,0.00886881951154989,NA,0,1,0.297560975609756,0.254338060520791,0.223439994564958,"PP 97",23,"","4.25.2018",97,"PP",22,4,"9:30",300,"AS",40,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,NA,NA,NA,1,2
"24",1,0.0769230769230769,0.0163934426229508,-0.983606557377049,0.8,1,1,1,1,1.51470588235294,0,0,0.0137564696268047,0.00509432887102935,NA,0,1,0.297560975609756,0.254338060520791,0.123732887142024,"PP 99",24,"","4.25.2018",99,"PP",24,2,"9:57",58,"AS",66,0,5,0,0,0,0,0,0,0,0,0,1,5,5,0,0,0,NA,NA,NA,1,2
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP 102",25,"","4.25.2018",102,"PP",19,2,"10:32",90,"AS",32,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,NA,NA,NA,2,1
"26",2,0.153846153846154,0.388379204892966,-0.305810397553517,0.128571428571429,0.986111111111111,0.857142857142857,0.916666666666667,1,1.42647058823529,0,0.0102108473677231,0.0147552892036684,0.0167580112469874,NA,0.410116318288409,1.50699306577254,0.546341463414634,0.383285693566868,0.168974086588317,"SC 112",26,"","4.25.2018",112,"SC",55,3,"1:50",520,"AS",187,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,NA,NA,NA,0,2
"27",1,0.0769230769230769,0.036697247706422,-0.963302752293578,0.442857142857143,1,1,1,1,1.42647058823529,0,0,0.0147552892036684,0.0135660091047041,NA,0,1,0.531707317073171,0.254338060520791,0.112086608987233,"SC 114",27,"","4.25.2018",114,"SC",39,3,"2:30",190,"LT",49,1,2,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,NA,NA,NA,2,2
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SC 115",28,"","4.25.2018",115,"SC",46,3,"2:42",110,"SM",175,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,NA,NA,NA,2,3
"29",1,0.0769230769230769,0.018348623853211,-0.981651376146789,0.614285714285714,1,1,1,1,1.42647058823529,0,0,0.0147552892036684,0.00865915474768347,NA,0,1,0.531707317073171,0.254338060520791,0.0915473804546453,"SC 119",29,"","4.25.2018",119,"SC",46,7,"4:01",50,"AS",47,0,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,NA,NA,NA,1,2
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP 121",30,"","4.26.2018",121,"PP",18,2,"9:09",245,"LT",72,2,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0.0445,0.0415,0.003,2,2
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP 122",31,"","4.26.2018",122,"PP",27,2,"9:24",140,"AS",127,0,2,0,0,0,0,1,0,0,0,0,0,3,2,1,1,0,0.0445,0.0415,0.003,2,2
"32",1,0.0769230769230769,0.147540983606557,-0.852459016393443,0.385714285714286,1,1,1,1,1.51470588235294,0,0,0.0137564696268047,0.0209304140472577,NA,0,1,0.297560975609756,0.254338060520791,0.350712925214462,"PP 124",32,"","4.26.2018",124,"PP",28,3,"10:05",300,"LT",164,0,2,0,0,0,0,0,0,0,0,0,9,2,2,0,0,0,0.0445,0.0415,0.003,1,2
"33",2,0.153846153846154,0.0255677545495563,-0.487216122725222,0.328571428571429,0.916666666666667,0.67700320038633,0.916666666666667,1,1.13235294117647,0.0295774567875051,0,0.0172977390356851,0.00815773376006705,NA,0.693147180559945,2,0.797560975609756,0.508676121041581,0,"SC 125",33,"","4.26.2018",125,"SC",52,3,"10:21",50,"AS",5,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0.0445,0.0415,0.003,1,2
"34",1,0.0769230769230769,0.018348623853211,-0.981651376146789,0.628571428571429,1,1,1,1,1.42647058823529,0,0,0.0147552892036684,0.00865915474768347,NA,0,1,0.531707317073171,0.254338060520791,0.0915473804546453,"SC 126",34,"","4.26.2018",126,"SC",42,7,"10:41",800,"AS",201,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0.0445,0.0415,0.003,1,2
"35",1,0.0769230769230769,0.00917431192660551,-0.990825688073395,0.742857142857143,1,1,1,1,1.42647058823529,0,0,0.0147552892036684,0.00502444781655707,NA,0,1,0.531707317073171,0.254338060520791,0,"HH 130",35,"","4.26.2018",130,"HH",26,1,"11:33",90,"EC",157,0,0,2,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0.0445,0.0415,0.003,1,3
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SC 137",36,"","4.27.2018",137,"SC",54,3,"10:38",0,"AS",82,0,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0.043,0.0385,0.0045,1,1
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SC 138",37,"","4.27.2018",138,"SC",46,10,"10:54",25,"AS",76,0,2,0,0,0,1,0,0,0,0,0,0,3,2,1,1,0,0.043,0.0385,0.0045,2,2
"38",2,0.153846153846154,0.134174311926606,-0.432912844036697,0.342857142857143,0.916666666666667,0.67700320038633,0.916666666666667,1,1.33823529411765,0.0341273929092626,0.00616629094284578,0.0153909016616726,0.00689018521119283,NA,0.693147180559945,2,0.539024390243902,0.508676121041581,0.230786315207719,"SC 139",38,"","4.27.2018",139,"SC",58,8,"10:54",110,"SC",NA,0,1,0,0,0,2,0,0,0,0,0,2,3,1,2,2,0,0.043,0.0385,0.0045,2,3
"39",1,0.0769230769230769,0.75,-0.25,0.471428571428571,1,1,1,1,2.10294117647059,0,0,0.0090347770816308,0.00679558897638239,NA,0,1,0.0195121951219512,0.254338060520791,0.928716726242178,"PP 140",39,"","4.27.2018",140,"PP",22,1,"11:19",16,"SC",NA,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.043,0.0385,0.0045,0,2
"40",1,0.0769230769230769,0.0491803278688525,-0.950819672131147,0.457142857142857,1,1,1,1,1.51470588235294,0,0,0.0137564696268047,0.011777564174502,NA,0,1,0.297560975609756,0.254338060520791,0.253607064608117,"HH 144",40,"","4.27.2018",144,"HH",44,6,"12:09",130,"EC",95,0,0,2,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0.043,0.0385,0.0045,1,3
"41",1,0.0769230769230769,0.018348623853211,-0.981651376146789,0.642857142857143,1,1,1,1,1.42647058823529,0,0,0.0147552892036684,0.00865915474768347,NA,0,1,0.531707317073171,0.254338060520791,0.0915473804546453,"SC 152",41,"","4.27.2018",152,"SC",66,10,"1:14",0,"EC",77,1,1,2,0,0,0,0,0,0,0,0,2,4,4,0,0,0,0.043,0.0385,0.0045,3,3
"42",3,0.230769230769231,1.04391637840277,0.0146387928009224,0.0428571428571429,0.944444444444445,0.627162924074226,0.833333333333333,1,1.13235294117647,0.0295774567875051,0,0.0172977390356851,0.0126522364707085,NA,0.950270539233235,2.58640928985893,0.736585365853659,0.657822322495677,0.154685595167268,"SC 156",42,"","4.27.2018",156,"SC",66,15,"2:19",68,"AS",14,1,1,0,0,0,0,0,0,0,0,0,5,2,2,0,0,0,0.043,0.0385,0.0045,2,2
"43",1,0.0769230769230769,0.166666666666667,-0.833333333333333,0.814285714285714,1,1,1,1,2.30882352941176,0,0,0.00858076818305639,0.00298032746807983,NA,0,1,0.0292682926829268,0.254338060520791,0.61807149795579,"SC 164",43,"","4.28.2018",164,"SC",54,10,"10:21",443,"LT",137,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,0,2
"44",1,0.0769230769230769,0.018348623853211,-0.981651376146789,0.657142857142857,1,1,1,1,1.42647058823529,0,0,0.0147552892036684,0.00865915474768347,NA,0,1,0.531707317073171,0.254338060520791,0.0915473804546453,"SC 167",44,"","4.28.2018",167,"SC",67,15,"10:57",140,"SC",124,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,NA,NA,NA,1,2
