"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d","uniID","X","Site","Date","Waypoint","Species","Height","N.flowers","Time","NN","NN.id","dist.lar","LT","AS","EC","SD","SM","SC","PP","HH","EL","LOTUS","BW","Quantity","density","shrub.density","cactus.density","con.density","het.density","site.density","site.shrub.density","site.cactus.density","S","imp.den.x","imp.den.y"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP 1",1,"low","4.21.2018",1,"PP",20,5,"",450,"AS",67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0,0,0.0194444444444444,0.0194444444444444
"2",3,0.176470588235294,0.119871664585813,-0.293376111804729,0.104347826086957,0.9375,0.579601155968481,0.875,1,1.69565217391304,0.0111184126412777,0,0.00460579243765084,0.0029284675108064,NA,1.03972077083992,2.82842712474619,0.24251968503937,0.292390460521591,0.280544162029657,"PP 2",2,"low","4.21.2018",2,"PP",19,11,"",1110,"HH",18,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0,0,0.0194444444444444,0.0194444444444444
"3",2,0.117647058823529,0.0340659340659341,-0.482967032967033,0.265217391304348,0.96875,0.726483157256779,0.9375,1,1.58260869565217,0.0029881757522496,0,0.00496781979082864,0.00290412171203061,NA,0.636514168294813,1.88988157484231,0.396850393700787,0.195367714856362,0.125488459026905,"LT 3",3,"low","4.21.2018",3,"LT",185,45,"",95,"LT",215,1,0,0,0,0,0,0,1,0,0,0,3,2,1,1,1,1,0.0194444444444444,0.0194444444444444,0,2,0.0194444444444444,0.0194444444444444
"4",1,0.0588235294117647,0.028169014084507,-0.971830985915493,0.582608695652174,1,1,1,1,1.9,0,0,0.00399738535800483,0.00263756837148795,NA,0,1,0.111811023622047,0.103375638694537,0.272942977038317,"HH 4",4,"low","4.21.2018",4,"HH",25,2,"",275,"LT",83,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0,0,0.0194444444444444,0.0194444444444444
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LT 5",5,"low","4.21.2018",5,"LT",175,72,"",160,"LT",39,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0.0194444444444444,0.0194444444444444,0,1,0.0194444444444444,0.0194444444444444
"6",2,0.117647058823529,0.126190476190476,-0.436904761904762,0.221739130434783,0.979166666666667,0.775604602874429,0.9375,1,1.87391304347826,0.00190028861382677,0.000445999040172899,0.00401749798873693,0.00325050697628939,NA,0.562335144618808,1.75476535060332,0.129133858267717,0.181399988877662,0.348916602703756,"LT 6",6,"low","4.21.2018",6,"LT",125,73,"11:34",130,"LT",24,1,2,0,0,0,0,0,0,0,0,0,4,3,3,0,1,2,0.0194444444444444,0.0194444444444444,0,2,0.0194444444444444,0.0194444444444444
"7",1,0.0588235294117647,0.0454545454545455,-0.954545454545455,0.734782608695652,1,1,1,1,2.02173913043478,0,0,0.00362530168946098,0.0015768272059547,NA,0,1,0.0346456692913386,0.103375638694537,0.406026425555071,"AS 7",7,"low","4.21.2018",7,"AS",49,4,"11:48",55,"AS",202,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0,0,0.0194444444444444,0.0194444444444444
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AS 8",8,"low","4.21.2018",8,"AS",39,9,"12:08",575,"EC",193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0,0,0.0194444444444444,0.0194444444444444
"9",1,0.0588235294117647,0.00549450549450549,-0.994505494505495,0.917391304347826,1,1,1,1,1.66086956521739,0,0,0.00471641190667739,0.00165176983154938,NA,0,1,0.286614173228346,0.103375638694537,0,"PP 9",9,"low","4.21.2018",9,"PP",24,2,"12:20",30,"PP",164,0,0,1,0,0,0,1,0,0,0,0,1,2,1,1,1,1,0.0194444444444444,0.0194444444444444,0,2,0.0194444444444444,0.0194444444444444
"10",1,0.0588235294117647,0.0099009900990099,-0.99009900990099,0.769565217391304,1,1,1,1,1.81739130434783,0,0,0.00418342719227675,0.00167883758817484,NA,0,1,0.159055118110236,0.103375638694537,0.113160148640456,"EC 10",10,"low","4.21.2018",10,"EC",46,264,"12:38",270,"EC",189,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0.0194444444444444,0.0194444444444444,0,1,0.0194444444444444,0.0194444444444444
"11",2,0.117647058823529,0.152758132956153,-0.423620933521924,0.330434782608696,0.9375,0.684653196881458,0.9375,1,1.8,0.0037002777093448,0.000817664906983647,0.00424376508447305,0.00186093042790912,NA,0.693147180559945,2,0.17007874015748,0.206751277389075,0.331811216043869,"EC 11",11,"low","4.21.2018",11,"EC",55,135,"1:09",150,"EC",178,0,0,4,0,0,0,0,0,0,0,0,2,4,4,0,4,0,0.0194444444444444,0.0194444444444444,0,1,0.0194444444444444,0.0194444444444444
"12",2,0.117647058823529,0.283333333333333,-0.358333333333333,0.339130434782609,0.9375,0.684653196881458,0.9375,1,2.0304347826087,0.000877143907142603,3.94894983486421e-05,0.00357502011263073,0.00158414441408126,NA,0.693147180559945,2,0.0267716535433071,0.206751277389075,0.583023574581215,"EC 12",12,"low","4.21.2018",12,"EC",57,185,"",120,"EC",127,0,1,3,0,0,0,0,0,0,0,0,2,4,4,0,3,1,0.0194444444444444,0.0194444444444444,0,2,0.0194444444444444,0.0194444444444444
"13",1,0.0588235294117647,0.0428571428571429,-0.957142857142857,0.517391304347826,1,1,1,1,2.02173913043478,0,0,0.00377614641995173,0.00320627322099054,NA,0,1,0.110236220472441,0.103375638694537,0.328946291778061,"LT 13",13,"low","4.21.2018",13,"LT",275,131,"",100,"LT",4,1,0,3,0,0,0,0,0,0,0,0,3,4,4,0,1,3,0.0194444444444444,0.0194444444444444,0,2,0.0194444444444444,0.0194444444444444
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AS 14",14,"low","4.21.2018",14,"AS",35,4,"2:09",200,"AS",217,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.0194444444444444,0.0194444444444444,0,1,0.0194444444444444,0.0194444444444444
"15",1,0.0588235294117647,0.00549450549450549,-0.994505494505495,0.908695652173913,1,1,1,1,1.66086956521739,0,0,0.00471641190667739,0.00165176983154938,NA,0,1,0.286614173228346,0.103375638694537,0,"PP 15",15,"low","4.21.2018",15,"PP",18,2,"2:38",310,"EL",20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0,0,0.0194444444444444,0.0194444444444444
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD 16",16,"up","4.21.2018",16,"SD",38,12,"3:04",68,"SD",168,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0.0194444444444444,0.0194444444444444,0,1,0.0194444444444444,0.0194444444444444
