"","nestedcontribution","uniID"
"AS 108",0.835880994986972,"AS 108"
"AS 113",-0.485050178964482,"AS 113"
"AS 128",-0.627300797675608,"AS 128"
"AS 141",0.0165674640694642,"AS 141"
"AS 142",-0.608101143758193,"AS 142"
"AS 176",-0.554793780835935,"AS 176"
"AS 177",-0.531078777072099,"AS 177"
"AS 185",-0.597549803958834,"AS 185"
"AS 212",-0.448160127069432,"AS 212"
"AS 216",0.870606209733263,"AS 216"
"AS 22",-0.55175777269456,"AS 22"
"AS 220",-0.305934875732198,"AS 220"
"AS 245",-0.880274798846557,"AS 245"
"AS 247",-0.777915001412783,"AS 247"
"AS 251",-0.154654916272701,"AS 251"
"AS 26",0.110434436655861,"AS 26"
"AS 270",-0.582594724729413,"AS 270"
"AS 273",0.535716008451227,"AS 273"
"AS 277",0.172335497839196,"AS 277"
"AS 283",0.969172602668475,"AS 283"
"AS 287",-0.689976067486176,"AS 287"
"AS 29",-0.518447295915961,"AS 29"
"AS 299",-0.745735296017963,"AS 299"
"AS 316",-0.516203445007121,"AS 316"
"AS 323",-0.539613688751441,"AS 323"
"AS 327",-0.84925889660754,"AS 327"
"AS 337",-0.334387571844901,"AS 337"
"AS 342",-0.234831749980426,"AS 342"
"AS 344",-0.27980009407522,"AS 344"
"AS 346",-0.45621159470503,"AS 346"
"AS 361",-0.35534297500466,"AS 361"
"AS 369",-0.770013859957571,"AS 369"
"AS 371",0.136109963124953,"AS 371"
"AS 372",0.264643913015326,"AS 372"
"AS 380",-0.394415986331187,"AS 380"
"AS 381",-0.327757967765036,"AS 381"
"AS 44",-0.517249663426161,"AS 44"
"AS 47",0.414228635586663,"AS 47"
"AS 54",-0.186961258068731,"AS 54"
"AS 7",-0.468082204693887,"AS 7"
"AS 71",-0.0405816544244418,"AS 71"
"AS 73",-0.507047891377933,"AS 73"
"AS 98",-0.517719144749197,"AS 98"
"BW 235",-0.27841881135136,"BW 235"
"BW 254",-0.649265052309755,"BW 254"
"BW 263",-0.318768929250274,"BW 263"
"BW 300",-0.270137525464661,"BW 300"
"BW 301",-0.0636904091114704,"BW 301"
"BW 305",-0.243705221430095,"BW 305"
"BW 310",0.541041702127254,"BW 310"
"BW 320",-0.0319713190018116,"BW 320"
"BW 336",0.540533369926808,"BW 336"
"BW 338",0.659601074135776,"BW 338"
"BW 340",-0.242916096329173,"BW 340"
"BW 352",-0.0245248864823975,"BW 352"
"BW 354",-0.314612985764109,"BW 354"
"BW 355",-0.10469261459689,"BW 355"
"BW 365",-0.387893027583122,"BW 365"
"BW 367",-1.18872729309547,"BW 367"
"BW 375",0.198738109693439,"BW 375"
"BW 378",-0.1847873414783,"BW 378"
"BW 379",0.366959858237169,"BW 379"
"EC 10",-0.0344387736980793,"EC 10"
"EC 106",-0.698136133378738,"EC 106"
"EC 107",-0.922470545628077,"EC 107"
"EC 11",0.259986137049326,"EC 11"
"EC 110",0.171793510314407,"EC 110"
"EC 111",-0.529212093717931,"EC 111"
"EC 12",-0.603100179746072,"EC 12"
"EC 132",1.20806609755031,"EC 132"
"EC 143",0.257014817283646,"EC 143"
"EC 146",-0.428748598695324,"EC 146"
"EC 147",0.443140050221814,"EC 147"
"EC 148",0.635635481541835,"EC 148"
"EC 153",0.0917510790848378,"EC 153"
"EC 172",-0.325542780218956,"EC 172"
"EC 190",-0.543390922685228,"EC 190"
"EC 191",-0.715513475406481,"EC 191"
"EC 192",-0.186122350493814,"EC 192"
"EC 206",-0.170538089799655,"EC 206"
"EC 215",-0.29375039066911,"EC 215"
"EC 218",0.403877744119901,"EC 218"
"EC 222",0.980969044383405,"EC 222"
"EC 227",-0.00232251318507142,"EC 227"
"EC 23",1.13374608989543,"EC 23"
"EC 230",0.782791304042319,"EC 230"
"EC 252",0.0351414877920102,"EC 252"
"EC 264",-0.87590834847374,"EC 264"
"EC 280",-0.548712451008594,"EC 280"
"EC 281",0.624350023180115,"EC 281"
"EC 376",-0.54795987751635,"EC 376"
"EC 43",-0.0116930988652937,"EC 43"
"EC 65",1.02410746131009,"EC 65"
"EC 90",0.529683225765282,"EC 90"
"EC 91",0.436604632458318,"EC 91"
"EC 94",0.126856281301955,"EC 94"
"EL 28",-0.737789825965487,"EL 28"
"HH 130",0.861040985899445,"HH 130"
"HH 144",0.397379995121677,"HH 144"
"HH 364",0.412177279755097,"HH 364"
"HH 4",0.685423890907661,"HH 4"
"LT 101",0.830464597302798,"LT 101"
"LT 105",0.967152145420211,"LT 105"
"LT 109",-0.89271185685319,"LT 109"
"LT 118",0.610740921521748,"LT 118"
"LT 127",-0.561125876028104,"LT 127"
"LT 13",0.874143741054941,"LT 13"
"LT 131",0.713141788093265,"LT 131"
"LT 145",0.926552000465334,"LT 145"
"LT 149",-0.0188969100495851,"LT 149"
"LT 151",0.69770182032678,"LT 151"
"LT 159",2.05425966354032,"LT 159"
"LT 163",0.15887942179522,"LT 163"
"LT 169",0.217467979373378,"LT 169"
"LT 173",0.58654500812975,"LT 173"
"LT 182",1.76018888172836,"LT 182"
"LT 193",0.509915723724051,"LT 193"
"LT 199",1.52021891102039,"LT 199"
"LT 211",0.994611335845277,"LT 211"
"LT 219",0.68897793103372,"LT 219"
"LT 240",0.832960382575532,"LT 240"
"LT 242",0.0915446171521071,"LT 242"
"LT 250",0.729887350045512,"LT 250"
"LT 265",0.568081490164168,"LT 265"
"LT 271",1.45769648194695,"LT 271"
"LT 275",1.2298965504791,"LT 275"
"LT 276",0.916740103750965,"LT 276"
"LT 286",0.791850783387918,"LT 286"
"LT 294",-0.553694632932151,"LT 294"
"LT 295",1.18281796946445,"LT 295"
"LT 3",0.106041525553817,"LT 3"
"LT 30",1.2530537171872,"LT 30"
"LT 306",-0.569596341906081,"LT 306"
"LT 315",1.00756487473732,"LT 315"
"LT 319",-0.526076472746929,"LT 319"
"LT 325",-0.646287268141818,"LT 325"
"LT 33",0.742795785329476,"LT 33"
"LT 339",0.534661045016836,"LT 339"
"LT 345",0.628204112730265,"LT 345"
"LT 349",0.682025006531275,"LT 349"
"LT 35",-0.765845445379113,"LT 35"
"LT 357",0.923863819665916,"LT 357"
"LT 366",1.3033584742561,"LT 366"
"LT 370",-0.0265914726420906,"LT 370"
"LT 377",-0.498011240681416,"LT 377"
"LT 38",0.944104194211051,"LT 38"
"LT 384",-0.605787665503883,"LT 384"
"LT 6",0.379411256983487,"LT 6"
"LT 61",0.118853028320834,"LT 61"
"LT 62",0.921233701079261,"LT 62"
"LT 82",1.97390364127687,"LT 82"
"LT 85",0.235649099358842,"LT 85"
"LT 86",0.254853736646332,"LT 86"
"LT 96",0.83205769695316,"LT 96"
"PP 124",0.523970827201012,"PP 124"
"PP 140",0.848368916368157,"PP 140"
"PP 15",1.08664465740649,"PP 15"
"PP 168",0.67267337734018,"PP 168"
"PP 17",1.97281161322777,"PP 17"
"PP 2",0.311680030431394,"PP 2"
"PP 208",-0.174246672094894,"PP 208"
"PP 27",1.8780233511907,"PP 27"
"PP 31",2.39958922974658,"PP 31"
"PP 53",0.869501898045246,"PP 53"
"PP 55",1.21359175217557,"PP 55"
"PP 70",1.08630474589248,"PP 70"
"PP 72",-0.154418201503945,"PP 72"
"PP 74",0.472428338201715,"PP 74"
"PP 77",0.57300162539486,"PP 77"
"PP 9",0.90963552251488,"PP 9"
"PP 97",0.748087031718966,"PP 97"
"PP 99",0.530840855683918,"PP 99"
"SC 112",1.02196727317594,"SC 112"
"SC 114",0.790668002743431,"SC 114"
"SC 119",0.786497418125804,"SC 119"
"SC 125",2.19681591121254,"SC 125"
"SC 126",0.699768016221415,"SC 126"
"SC 139",1.28184896701158,"SC 139"
"SC 152",1.4143912543002,"SC 152"
"SC 156",2.37071602484139,"SC 156"
"SC 164",-0.335759844456492,"SC 164"
"SC 167",1.27160009085938,"SC 167"
"SC 175",-0.668588908996523,"SC 175"
"SC 180",-0.117226796930113,"SC 180"
"SC 184",-0.260464220045485,"SC 184"
"SC 196",1.91073029704016,"SC 196"
"SC 198",0.615847937535809,"SC 198"
"SC 202",0.689174303176946,"SC 202"
"SC 207",0.562760033080904,"SC 207"
"SC 228",0.533036741713501,"SC 228"
"SC 234",0.291439525295689,"SC 234"
"SC 248",3.12019926003897,"SC 248"
"SC 256",0.817613386686786,"SC 256"
"SC 266",-0.750841369485663,"SC 266"
"SC 268",0.681346606018225,"SC 268"
"SC 285",2.3650319898693,"SC 285"
"SC 288",1.10613835602751,"SC 288"
"SC 296",0.846744820548464,"SC 296"
"SC 298",1.32402005838402,"SC 298"
"SC 303",2.23876098565282,"SC 303"
"SC 311",3.60500217641657,"SC 311"
"SC 312",1.01351542836171,"SC 312"
"SC 314",0.782617905149301,"SC 314"
"SC 322",2.74276087667891,"SC 322"
"SC 326",1.08989223123449,"SC 326"
"SC 328",0.529238121795204,"SC 328"
"SC 335",0.405349159599349,"SC 335"
"SC 341",0.668728279314266,"SC 341"
"SC 343",-0.742390492094804,"SC 343"
"SC 350",1.60222478584323,"SC 350"
"SC 351",0.779520286366947,"SC 351"
"SC 356",2.35084845378027,"SC 356"
"SC 359",2.32151131757963,"SC 359"
"SC 363",0.530081266562134,"SC 363"
"SC 374",0.975433235277693,"SC 374"
"SC 382",0.984977650416519,"SC 382"
"SC 383",-0.628332544595088,"SC 383"
"SC 385",2.47567137865957,"SC 385"
"SC 87",3.09675733134134,"SC 87"
"SC 88",0.958609020116102,"SC 88"
"SC 93",0.84596217418994,"SC 93"
"SD 160",-0.71496186290829,"SD 160"
"SD 195",0.900211987471137,"SD 195"
"SD 25",-0.756833519395909,"SD 25"
"SD 253",-0.573726969319766,"SD 253"
"SD 49",-0.817882653784357,"SD 49"
"SD 52",0.5823299451014,"SD 52"
"SM 183",-0.53833953964665,"SM 183"
"SM 209",-0.275982361290447,"SM 209"
"SM 262",-0.742105283509602,"SM 262"
"SM 50",-0.738815836656182,"SM 50"
