"","Site","Date","Waypoint","Species","Height","N.flowers","Time","NN","NN.id","dist.lar","LT","AS","EC","SD","SM","SC","PP","HH","EL","LOTUS","BW","uniID","Quantity","density","shrub.density","cactus.density","con.density","het.density","site.density","site.shrub.density","site.cactus.density","S","S"
"1","low","4.21.2018","1","PP",20,5,"",450,"AS",67,0,0,0,0,0,0,0,0,0,0,0,"PP 1",0,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0,0,1
"2","low","4.21.2018","2","PP",19,11,"",1110,"HH",18,0,0,0,0,0,0,0,0,0,0,0,"PP 2",4,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0,0,2
"3","low","4.21.2018","4","HH",25,2,"",275,"LT",83,0,0,0,0,0,0,0,0,0,0,0,"HH 4",2,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0,0,2
"4","low","4.21.2018","9","PP",24,2,"12:20",30,"PP",164,0,0,1,0,0,0,1,0,0,0,0,"PP 9",1,2,1,1,1,0,0.0194444444444444,0.0194444444444444,0,2,4
"5","low","4.21.2018","15","PP",18,2,"2:38",310,"EL",20,0,0,0,0,0,0,0,0,0,0,0,"PP 15",1,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0,0,2
"6","up","4.21.2018","17","PP",29,2,"",600,"EC",43,0,0,0,0,0,0,0,0,0,0,0,"PP 17",2,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0,0,2
"7","up","4.21.2018","18","PP",28,3,"3:37",1810,"PP",60,0,0,0,0,0,0,0,0,0,0,0,"PP 18",0,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0,0,1
"8","up","4.22.2018","21","PP",22,1,"9:01",100,"PP",60,0,0,0,0,0,0,1,0,0,0,0,"PP 21",0,1,0,1,1,0,NA,NA,NA,1,2
"9","up","4.22.2018","24","PP",30,2,"9:55",495,"SD",37,0,0,0,0,0,0,0,0,0,0,0,"PP 24",0,0,0,0,0,0,NA,NA,NA,0,1
"10","low","4.22.2018","27","PP",32,3,"10:50",170,"AS",71,0,2,0,0,0,0,0,0,0,0,0,"PP 27",4,2,2,0,0,0,NA,NA,NA,1,2
"11","low","4.22.2018","31","PP",28,7,"11:57",230,"AS",166,0,4,0,0,0,0,0,0,0,0,0,"PP 31",4,4,4,0,0,0,NA,NA,NA,1,2
"12","","4.23.2018","53","PP",34,3,"11:03",5,"SM",220,0,0,0,0,2,0,0,0,0,1,0,"PP 53",2,3,3,0,0,0,0.05,0.05,0,2,4
"13","low","4.23.2018","55","PP",23,1,"11:51",200,"LT",54,0,0,0,0,0,0,0,0,0,0,0,"PP 55",2,0,0,0,0,0,0.05,0.05,0,0,2
"14","UP","4.24.2018","70","PP",29,25,"8:59",160,"SM",101,0,0,0,0,3,0,0,0,0,0,0,"PP 70",2,3,3,0,0,0,0.0385,0.036,0.0015,1,3
"15","UP","4.24.2018","72","PP",19,5,"9:31",55,"SM",119,0,0,0,0,2,0,0,0,0,0,0,"PP 72",1,2,2,0,0,0,0.0385,0.036,0.0015,1,3
"16","UP","4.24.2018","74","PP",35,16,"9:58",160,"AS",114,0,1,0,0,0,0,0,0,0,0,0,"PP 74",2,1,1,0,0,0,0.0385,0.036,0.0015,1,2
"17","","4.24.2018","77","PP",19,1,"10:51",0,"AS",218,0,3,0,0,0,0,0,0,0,0,0,"PP 77",2,3,3,0,0,0,0.0385,0.036,0.0015,1,2
"18","","4.24.2018","80","PP",23,1,"11:39",90,"AS",16,0,5,0,0,0,0,0,0,0,0,0,"PP 80",0,5,5,0,0,0,0.0385,0.036,0.0015,1,1
"19","","4.24.2018","87","SC",70,12,"1:53",230,"AS",45,0,1,0,0,0,0,0,0,0,0,0,"SC 87",6,1,1,0,0,0,0.0385,0.036,0.0015,1,2
"20","","4.24.2018","88","SC",70,9,"2:20",230,"AS",75,0,2,0,0,0,0,0,0,0,0,0,"SC 88",3,2,2,0,0,0,0.0385,0.036,0.0015,1,2
