"","Site","Date","Waypoint","Species","Height","N.flowers","Time","NN","NN.id","dist.lar","LT","AS","EC","SD","SM","SC","PP","HH","EL","LOTUS","BW","uniID","Quantity","density","shrub.density","cactus.density","con.density","het.density","site.density","site.shrub.density","site.cactus.density","S","S"
"1","low","4.21.2018","3","LT",185,45,"",95,"LT",215,1,0,0,0,0,0,0,1,0,0,0,"LT 3",3,2,1,1,1,0,0.0194444444444444,0.0194444444444444,0,2,3
"2","low","4.21.2018","5","LT",175,72,"",160,"LT",39,2,0,0,0,0,0,0,0,0,0,0,"LT 5",0,2,2,0,2,0,0.0194444444444444,0.0194444444444444,0,1,1
"3","low","4.21.2018","6","LT",125,73,"11:34",130,"LT",24,1,2,0,0,0,0,0,0,0,0,0,"LT 6",4,3,3,0,1,2,0.0194444444444444,0.0194444444444444,0,2,2
"4","low","4.21.2018","7","AS",49,4,"11:48",55,"AS",202,0,0,0,0,0,0,0,0,0,0,0,"AS 7",1,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0,0,2
"5","low","4.21.2018","8","AS",39,9,"12:08",575,"EC",193,0,0,0,0,0,0,0,0,0,0,0,"AS 8",0,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0,0,1
"6","low","4.21.2018","10","EC",46,264,"12:38",270,"EC",189,0,0,1,0,0,0,0,0,0,0,0,"EC 10",1,1,1,0,1,0,0.0194444444444444,0.0194444444444444,0,1,3
"7","low","4.21.2018","11","EC",55,135,"1:09",150,"EC",178,0,0,4,0,0,0,0,0,0,0,0,"EC 11",2,4,4,0,4,0,0.0194444444444444,0.0194444444444444,0,1,3
"8","low","4.21.2018","12","EC",57,185,"",120,"EC",127,0,1,3,0,0,0,0,0,0,0,0,"EC 12",2,4,4,0,3,1,0.0194444444444444,0.0194444444444444,0,2,3
"9","low","4.21.2018","13","LT",275,131,"",100,"LT",4,1,0,3,0,0,0,0,0,0,0,0,"LT 13",3,4,4,0,1,3,0.0194444444444444,0.0194444444444444,0,2,3
"10","low","4.21.2018","14","AS",35,4,"2:09",200,"AS",217,0,1,0,0,0,0,0,0,0,0,0,"AS 14",0,1,1,0,1,0,0.0194444444444444,0.0194444444444444,0,1,1
"11","up","4.21.2018","16","SD",38,12,"3:04",68,"SD",168,0,0,0,1,0,0,0,0,0,0,0,"SD 16",0,1,1,0,1,0,0.0194444444444444,0.0194444444444444,0,1,2
"12","up","4.21.2018","19","EL",75,24,"3:59",595,"PP",126,0,0,0,0,0,0,0,0,0,0,0,"EL 19",0,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0,0,1
"13","up","4.22.2018","20","EL",68,27,"4:16",145,"EC",126,0,0,0,0,0,0,0,0,3,0,0,"EL 20",0,3,3,0,3,0,NA,NA,NA,1,2
"14","up","4.22.2018","22","AS",56,82,"9:16",965,"PP",220,0,0,0,0,0,0,0,0,0,0,0,"AS 22",1,0,0,0,0,0,NA,NA,NA,0,2
"15","up","4.22.2018","23","EC",45,180,"",230,"EC",33,0,0,1,0,0,0,0,0,0,0,0,"EC 23",11,1,1,0,1,0,NA,NA,NA,1,3
"16","low","4.22.2018","25","SD",50,29,"10:18",285,"SD",155,0,0,0,1,0,0,0,0,0,0,0,"SD 25",1,1,1,0,1,0,NA,NA,NA,1,3
"17","low","4.22.2018","26","AS",54,56,"10:35",245,"AS",11,0,2,0,0,0,0,0,0,0,0,0,"AS 26",3,2,2,0,2,0,NA,NA,NA,1,2
"18","low","4.22.2018","28","EL",56,117,"11:04",160,"AS",78,0,2,0,0,0,0,0,0,0,0,0,"EL 28",1,2,2,0,0,2,NA,NA,NA,1,2
"19","low","4.22.2018","29","AS",49,29,"11:19",690,"AS",64,0,1,0,0,0,0,0,0,0,0,0,"AS 29",1,1,1,0,1,0,NA,NA,NA,1,2
"20","low","4.22.2018","30","LT",165,46,"11:33",80,"LT",200,2,0,0,0,0,0,0,0,0,0,0,"LT 30",1,2,2,0,2,0,NA,NA,NA,1,2
"21","low","4.22.2018","32","AS",4,9,"12:10",40,"AS",187,0,4,0,0,0,0,0,0,0,0,0,"AS 32",0,4,4,0,4,0,NA,NA,NA,1,1
