Date,Day,Site,Rep ,Area,LT,SD,SM,SC,AS,EL,EC,PP,HH,BW
4.21.2018,1,upper,1,120,,,,,,3,,,,
4.21.2018,1,upper,2,120,,,4,,,,,,,
4.21.2018,1,upper,3,120,,0,0,0,0,0,0,0,0,
4.21.2018,1,lower,1,120,1,,,,,,,,,
4.21.2018,1,lower,2,120,2,,,,3,,,,,
4.21.2018,1,lower,3,120,,,,,,,1,,,
4.23.2018,2,upper,1,120,,,5,,,,,,,
4.23.2018,2,upper,2,120,,,,,,,1,,1,
4.23.2018,2,upper,3,120,,4,,,,,,,,
4.23.2018,2,lower,1,120,,,,,10,,,,,
4.23.2018,2,lower,2,120,1,,1,,3,,,,,
4.23.2018,2,lower,3,120,2,,,,1,,,,,
4.24.2018,3,upper,1,500,,4,,,,,,,,
4.24.2018,3,upper,2,500,,,,,1,,,,1,
4.24.2018,3,upper,3,500,,,17,,2,,1,,,
4.24.2018,3,upper,4,500,,2,4,1,2,,,2,,
4.24.2018,3,lower,1,500,4,,,,13,,9,1,,
4.24.2018,3,lower,2,500,5,,1,,10,,4,1,,
4.24.2018,3,lower,3,500,6,,,,15,,,,,
4.24.2018,3,lower,4,500,,2,,,5,,,1,,
4.26.2018,4,lower,1,500,9,,3,1,6,,8,,1,
4.26.2018,4,lower,2,500,4,,,1,10,,10,,,
4.26.2018,4,lower,3,500,3,,,3,10,,,,,
4.26.2018,4,lower,4,500,5,,,,15,,,,,
4.27.2018,5,lower,1,500,,,,5,22,,,,,
4.27.2018,5,lower,2,500,8,,,1,4,,12,,,
4.27.2018,5,lower,3,500,11,,,1,3,,1,,,
4.27.2018,5,lower,4,500,5,,,2,11,,,,,
4.30.2018,6,lower,1,500,,,,2,12,,,,,
4.30.2018,6,lower,2,500,4,,1,2,20,,,,,
4.30.2018,6,lower,3,500,6,,,3,1,,,,,
4.30.2018,6,lower,4,500,5,,,,14,,,,,
5.3.2018,7,lower,1,500,11,,,3,16,,,,,
5.3.2018,7,lower,2,500,1,,3,5,15,,,,,
5.3.2018,7,lower,3,500,9,,,2,2,,,,,
5.3.2018,7,lower,4,500,6,,,,4,,,,,
5.4.2018,8,lower,1,500,5,,,2,6,,3,,,
5.4.2018,8,lower,2,500,9,,,0,1,,2,,,
5.4.2018,8,lower,3,500,8,,,1,7,,1,,,1
5.4.2018,8,lower,4,500,4,,,2,15,,,,,
5.5.2018,9,lower,1,500,9,,,2,9,,,,,
5.5.2018,9,lower,2,500,6,,,3,9,,3,,,
5.5.2018,9,lower,3,500,3,,,5,4,,1,,,
5.5.2018,9,lower,4,500,7,,,3,2,,,,,
5.6.2018,10,lower,1,500,3,,,1,1,,,,,0
5.6.2018,10,lower,2,500,10,,,1,5,,,,,4
5.6.2018,10,lower,3,500,10,,,0,0,,,,,2
5.6.2018,10,lower,4,500,9,,,3,2,,1,,,1
5.7.2018,11,lower,1,500,7,,,1,3,,,,,2
5.7.2018,11,lower,2,500,3,,,4,0,,2,,,1
5.7.2018,11,lower,3,500,8,,,4,3,,,,,3
5.7.2018,11,lower,4,500,10,,,2,7,,,,,0
5.8.2018,12,lower,1,500,8,,,3,14,,,,,0
5.8.2018,12,lower,2,500,10,,,0,2,,,,,0
5.8.2018,12,lower,3,500,6,,,0,0,,,,,2
5.8.2018,12,lower,4,500,7,,,0,2,,,,,1
5.10.2018,13,lower,1,500,4,,,,5,,,,,0
5.10.2018,13,lower,2,500,5,,,1,0,,,,,3
5.10.2018,13,lower,3,500,14,,,,1,,,,,6
5.10.2018,13,lower,4,500,8,,,,2,,,,,0
