Date,Pan Trap,Quantity,ID,
5.5.2018,6,3,Lasioglossum,
5.5.2018,6,1,Therevidae/Bombylidae,
5.5.2018,6,1,Diadasia,
5.5.2018,1,1,Pieridae,
5.5.2018,1,4,Lasioglossum,
5.5.2018,1,2,Ephyridae,
5.5.2018,5,4,Lasioglossum,
5.5.2018,5,1,Sarcophagidae,
5.5.2018,5,1,Crabronidae,"tiny, black, white marks on legs"
5.5.2018,4,3,Crabronidae,"tiny, black, white marks on legs"
5.5.2018,4,3,Lasioglossum,
5.5.2018,4,1,Pompilidae,greenish metallica
5.5.2018,2,1,Bombylidae,brown/yellow thorax. Ussinae?
5.5.2018,2,1,Tachinidae,
5.5.2018,3,2,Lasioglossum,
4.25.2018,6,1,Ashmeadiell,"red abdomen, huge jaws, ridge of face, pinned."
4.25.2018,4,1,Lasioglossum,
4.25.2018,2,1,Osmia,
4.25.2018,2,1,"unknown bee, nomadopsis?",
4.25.2018,1,2,Bombylidae,"small, slender, spots on wings ~4mm"
4.25.2018,5,4,Lasioglossum,
4.25.2018,5,1,Hylaeus,
4.25.2018,3,2,Lasioglossum,
5.7.2018,5,4,Lasioglossum,
5.7.2018,5,1,moth,
5.7.2018,5,1,Bombylidae,brown/yellow thorax. Ussinae?
5.7.2018,2,1,Pompilidae,
5.7.2018,2,4,Lasioglossum,
5.7.2018,2,1,Bombylidae,"dark line across eye, spots on wings"
5.7.2018,6,1,Lasioglossum,
5.7.2018,6,1,Osmia,
5.7.2018,1,3,Lasioglossum,
5.7.2018,1,1,Sarcophagidae,
5.7.2018,3,1,Lasioglossum,
5.7.2018,4,0,,
4.23.2018,2,0,,
4.23.2018,3,1,Osmia,
4.23.2018,1,1,Lasioglossum,
4.23.2018,1,1,red-abdomen bee - not lasioglossum,
4.23.2018,1,1,Bombylidae - 1/2 smokey wings,
4.23.2018,5,1,Pompilidae,
4.23.2018,5,2,Lasioglossum,
4.23.2018,6,1,Apis mellifera,
4.23.2018,6,1,Pompilidae,
4.23.2018,6,2,Lasioglossum,
4.23.2018,4?,2,Ussinae,Bomylidae
4.23.2018,4?,1,Lasioglossum,
4.23.2018,4?,1,Megachilidae,
4.30.2018,3,3,Ussinae,Bomylidae
4.30.2018,3,1,Bombylidae,"dark line across eye, spots on wings"
4.30.2018,3,1,Pompilidae,orange!?
4.30.2018,3,1,Tachinidae,
4.30.2018,1,1,Ussinae,
4.30.2018,1,1,Bombylidae,"small, slender, spots on wings ~4mm"
4.30.2018,6,2,Ussinae,
4.30.2018,4,1,Pompilidae,greenish metallica
4.30.2018,4,1,Bombylidae,"dark line across eye, spots on wings"
4.30.2018,2,2,Ussinae,
4.30.2018,2,1,Lasioglossum,
4.30.2018,5,1,Tachinidae,
4.30.2018,5,1,Ussinae,
4.28.2018,14,1,Lasioglossum,
4.28.2018,14,1,Lasioglossum,red abdomen
4.28.2018,14,1,Bombylidae,"dark line across eye, spots on wings"
4.28.2018,3,0,,
4.28.2018,new1,0,,
4.28.2018,15,1,Bombylidae,"dark line across eye, spots on wings"
5.3.2018,3,2,Ussinae,
5.3.2018,3,1,Bombylidae,
5.3.2018,3,1,Megachilidae,
5.3.2018,6,2,Ussinae,
5.3.2018,6,2,Bombylidae,"dark line across eye, spots on wings"
5.3.2018,6,1,Conopidae,
5.3.2018,4,0,,
5.3.2018,1,2,Ussinae,
5.3.2018,5,2,Ussinae,
5.3.2018,5,1,Bombylidae,"dark line across eye, spots on wings"
5.3.2018,5,1,Rhinopohoridae,
5.3.2018,5,1,Bombylidae,huge head
5.3.2018,4,1,Bombylidae,"fuzzy, yellowy"
5.3.2018,4,1,Lasioglossum,
4.21.2018,3,1,Crabronidae,"small, red abdomen"
4.21.2018,3,5,Lasioglossum,
4.21.2018,3,1,Conopidae,
4.21.2018,5,5,Lasioglossum,
4.21.2018,5,1,Bombylidae? ,"Looks like bombylid, hairy face "
4.21.2018,5,1,Muscidae,
4.21.2018,4,4,Lasioglossum,
4.21.2018,4,1,Crabronidae,orange!?
4.21.2018,4,1,Nomia?,pinned
4.21.2018,2,1,Pieridae,
4.21.2018,2,4,Lasioglossum,
4.21.2018,2,1,Crabronidae,"red abdomen, medium - large"
4.21.2018,2,1,Tachinidae,
4.21.2018,1,4,Lasioglossum,
4.21.2018,1,1,Lasioglossum,red abdomen
4.21.2018,6,7,Lasioglossum,
4.21.2018,6,1,Lasioglossum,
