Date,Site,Rep,Percent cover,Annual Richness,Annual Blooms,Shrub Density,Blooming Shrub Density,LT,SD,SM,SC,AS,EL
4.21.2018,lower,1,5,5,2,13,0,0,0,0,0,0,
4.21.2018,lower,2,3,4,0,17,0,0,0,0,0,0,
4.21.2018,lower,3,8,3,0,23,0,0,0,0,0,0,
4.21.2018,lower,4,4,3,0,21,0,0,0,0,0,0,
4.21.2018,lower,5,3,4,0,20,0,0,0,0,0,0,
4.21.2018,lower,6,4,5,0,9,0,0,0,0,0,0,
4.21.2018,upper,1,8,3,0,22,0,0,0,0,0,0,
4.21.2018,upper,2,5,3,0,25,0,0,0,0,0,0,
4.21.2018,upper,3,4,4,0,22,0,0,0,0,0,0,
4.21.2018,upper,4,5,4,0,27,0,0,0,0,0,0,
4.21.2018,upper,5,4,3,0,22,0,0,0,0,0,0,
4.21.2018,upper,6,4,3,0,21,0,0,0,0,0,0,
4.23.2018,upper,1,5,5,23,38,,,,,,2,
4.23.2018,upper,2,3,3,0,32,,,,,,,1
4.23.2018,upper,3,2,2,0,29,,,,2,,,
4.23.2018,upper,4,2,2,0,13,,,,3,,,
4.23.2018,upper,5,2,4,0,14,,,,,,,
4.23.2018,upper,6,4,3,0,13,,,,,,,
4.23.2018,lower,1,1,2,0,13,,,,,,2,
4.23.2018,lower,2,3,4,3,10,,,,,,1,
4.23.2018,lower,3,5,5,2,9,,,,,,0,
4.23.2018,lower,4,4,4,4,13,,,,,,0,
4.23.2018,lower,5,8,2,0,7,,,,,,1,
4.23.2018,lower,6,5,2,0,14,,,,,,1,
4.25.2018,upper,1,3,2,0,20,,,,,,1,
4.25.2018,upper,2,1,3,0,23,,,,,,,
4.25.2018,upper,3,1,2,0,20,,,,,,,
4.25.2018,upper,4,1,2,0,16,,,,,,,
4.25.2018,upper,5,1,1,0,8,,,,1,,,
4.25.2018,upper,6,1,1,0,11,,1,,,,,
4.25.2018,lower,1,0,0,0,8,,,,,,,
4.25.2018,lower,2,0,0,0,10,,,,,,,
4.25.2018,lower,3,3,2,1,12,,,,,,,
4.25.2018,lower,4,2,1,0,14,,,,,,,
4.25.2018,lower,5,0,0,0,10,,,,,,3,
4.25.2018,lower,6,1,1,0,12,,1,,,,2,
4.28.2018,lower,3,4,3,0,13,,,,,,1,
4.28.2018,lower,15,1,1,0,6,,,,,,1,
4.28.2018,lower,14,0,0,0,12,,,,,,1,
4.28.2018,lower,new1,1,1,0,10,,,,,,1,
4.30.2018,lower,1,0.5,2,0,12,,,,,,2,
4.30.2018,lower,2,0,0,0,13,,,,,,2,
4.30.2018,lower,3,0,0,0,8,,2,,,,,
4.30.2018,lower,4,0,0,0,7,,,,,,1,
4.30.2018,lower,5,0.5,1,0,8,,,,,,,
4.30.2018,lower,6,2,2,0,8,,,,,,,
5.3.2018,lower,1,0,0,0,15,,,,,,1,
5.3.2018,lower,2,1,2,0,6,,1,,,,,
5.3.2018,lower,3,1,1,0,7,,,,,,,
5.3.2018,lower,4,2,2,0,4,,,,,,,
5.3.2018,lower,5,0,0,0,9,,,,,,,
5.3.2018,lower,6,1,1,0,8,,1,,,1,,
5.5.2018,lower,1,1,1,0,12,,1,,,,2,
5.5.2018,lower,2,0.5,1,0,15,,,,,,4,
5.5.2018,lower,3,0,0,0,8,,2,,,,,
5.5.2018,lower,4,0,0,0,10,,2,,,,,
5.5.2018,lower,5,0,0,0,10,,,,,,3,
5.5.2018,lower,6,0,0,0,11,,,,,,1,
5.7.2018,lower,1,0,0,0,11,,1,,,,2,
5.7.2018,lower,2,1,1,0,14,,,,,,2,
5.7.2018,lower,3,0,0,0,15,,2,,,,,
5.7.2018,lower,4,1,1,1,12,,,,,,,
5.7.2018,lower,5,1,1,4,17,,1,,,,,
5.7.2018,lower,6,0,0,0,17,,,,,,,
