Voucher Identifier,Location,Date,Month,Day,Year,WP,Species,,Quantity,ID,fun.grp,,,,,,,,,
,,4.21.2018,April,21,2018,7,AS ,V,1,agromyzidae,SmDi,,,,,,,,,
,,4.22.2018,April,22,2018,22,AS,V,1,agromyzidae,SmDi,,,,,,,,,
,,4.22.2018,April,22,2018,23,EC,V,1,agromyzidae,SmDi,,,,,,,,,
,,4.22.2018,April,22,2018,29,AS,V,1,agromyzidae,SmDi,,,,,,,,,
,,4.22.2018,April,22,2018,44,AS,V,1,agromyzidae,SmDi,,,,,,,,,634
,,4.23.2018,April,23,2018,54,AS,V,3,agromyzidae,SmDi,,,,,,,,,
,,4.25.2018,April,25,2018,98,AS,1,1,agromyzidae,SmDi,,,,,,,,,
,,4.30.2018,April,30,2018,212,AS,V,1,agromyzidae,SmDi,,,,,,,,,
,,5.3.2018,May,3,2018,251,AS,1,1,agromyzidae,SmDi,,,,,,,,,
,,5.4.2018,May,4,2018,270,AS,1,1,agromyzidae,SmDi,,,,,,,,,
,,5.4.2018,May,4,2018,277,AS,2,2,agromyzidae,SmDi,,,,,,,,,
,,5.4.2018,May,4,2018,280,EC,1,1,agromyzidae,SmDi,,,,,,,,,
,,5.4.2018,May,4,2018,281,EC,1,1,agromyzidae,SmDi,,,,,,,,,
LT.271.May.4.2018.Braun.1,,5.4.2018,May,4,2018,271,LT,V,1,allograpta exotica,syrphid,,,,,,,,,
,,5.4.2018,May,4,2018,277,AS,1,1,allograpta exotica,syrphid,,,,,,,,,
,,5.6.2018,May,6,2018,325,LT,1,1,allograpta exotica,syrphid,,,,,,,,,
,,5.8.2018,May,8,2018,366,LT,1,1,allograpta exotica,syrphid,,,,,,,,,
,,4.24.2018,April,24,2018,71,AS,1,1,ammophila,Nwasp,,,,,,,,,
,,4.24.2018,April,24,2018,91,EC,1,1,ammophila,Nwasp,,,,,,,,,
,,4.30.2018,April,30,2018,215,EC,1,1,ammophila,Nwasp,,,,,,,,,
,,5.5.2018,May,5,2018,300,BW,1,1,ammophila,Nwasp,,,,,,,,,
,,5.5.2018,May,5,2018,301,BW,1,1,ammophila,Nwasp,,,,,,,,,
,,5.5.2018,May,5,2018,310,BW,1,1,ammophila,Nwasp,,,,,,,,,
,,5.7.2018,May,7,2018,340,BW,1,1,ammophila,Nwasp,,,,,,,,,
,,5.8.2018,May,8,2018,365,BW,1,1,ammophila,Nwasp,,,,,,,,,
,,5.8.2018,May,8,2018,379,BW,1,1,ammophila,Nwasp,,,,,,,,,
,,5.8.2018,May,8,2018,380,AS,1,1,ammophila,Nwasp,,,,,,,,,
SM.50.April.23.2018.Braun.1,Packer lab,4.23.2018,April,23,2018,50,SM,V,1,anthophora,LtLbee,,,,,,,,,
,,4.28.2018,April,28,2018,183,SM,1,1,anthophora,LtLbee,,,,,,,,,
,,4.30.2018,April,30,2018,209,SM,1,1,anthophora,LtLbee,,,,,,,,,
,,5.4.2018,May,4,2018,262,SM,4,4,anthophora,LtLbee,,,,,,,,,
,,4.27.2018,April,27,2018,156,SC,many,0,ants,ant,,,,,,,,,
,,5.5.2018,May,5,2018,291,AS,1,0,ants,ant,,,,,,,,,
PP.9.April.21.2018.Braun.1,Packer lab,4.21.2018,April,21,2018,9,PP,V,1,ashmeadiella,StMbee,,,,,,,,,
PP.17.April.21.2018.Braun.1,Packer lab,4.21.2018,April,21,2018,17,PP,V,1,ashmeadiella,StMbee,,,,,,,,,
PP.27.April.22.2018.Braun.1,Packer lab,4.22.2018,April,22,2018,27,PP,V,1,ashmeadiella,StMbee,,,,,,,,,
