Date,WP,Species,,Quantity,nick,fun.grp,ID,Notes,Voucher,,,,,,
4.21.2018,7,AS ,V,1,black ovipositor fly ,fly,agromyzidae,,,,,,,,
4.22.2018,22,AS,V,1,very small fly,fly,agromyzidae,male - yellow halteres and costa,,,,,,,
4.22.2018,23,EC,V,1,black ovipositor fly ,fly,agromyzidae,female - yellow halteres and costa,,,,,,,634
4.22.2018,29,AS,V,1,black ovipositor fly ,fly,agromyzidae,female - yellow halteres and costa,,,,,,,
4.22.2018,44,AS,V,1,black ovipositor fly ,fly,agromyzidae,female - yellow halteres and costa,,,,,,,
4.23.2018,54,AS,V,3,black ovipositor fly ,fly,agromyzidae,2 female and 1 male - yellow halteres,,,,,,,
4.25.2018,98,AS,1,1,black ovipositor fly ,fly,agromyzidae,many vouchers,,,,,,,
4.30.2018,212,AS,V,1,diptera,fly,agromyzidae,,,,,,,,
5.3.2018,251,AS,1,1,black ovipositor fly ,fly,agromyzidae,,,,,,,,
5.4.2018,270,AS,1,1,black ovipositor fly ,fly,agromyzidae,,,,,,,,
5.4.2018,277,AS,2,2,black ovipositor fly ,fly,agromyzidae,,,,,,,,
5.4.2018,280,EC,1,1,black ovipositor fly ,fly,agromyzidae,,,,,,,,
5.4.2018,281,EC,1,1,black shiny fly,fly,agromyzidae,"yellow face, early vouchers",,,,,,,
5.4.2018,271,LT,V,1,syrphid,syrphid,allograpta exotica,,new! Vertical marks near bottom of abdomen,,,,,,
5.4.2018,277,AS,1,1,syrphid,syrphid,allograpta exotica,same as voucher from larrea earlier,,,,,,,
5.6.2018,325,LT,1,1,sryphid,syrphid,allograpta exotica,looks same as previous small yellow and black voucher,,,,,,,
5.8.2018,366,LT,1,1,syrphid,syrphid,allograpta exotica,"yellow and black, small. Have a voucher",,,,,,,
4.24.2018,71,AS,1,1,ammophila,wasp,ammophila,"1/2 red abdomen, small, delicate ",,,,,,,
4.24.2018,91,EC,1,1,ammophila,wasp,ammophila,"silver face, 1/2 black abdomen. Same",,,,,,,
4.30.2018,215,EC,1,1,ammophila,wasp,ammophila,,,,,,,,
5.5.2018,300,BW,1,1,ammophila,wasp,ammophila,"small, silvery, red and black abdomen",,,,,,,
5.5.2018,301,BW,1,1,ammophila,wasp,ammophila,,,,,,,,
5.5.2018,310,BW,1,1,ammophila,wasp,ammophila,,,,,,,,
5.7.2018,340,BW,1,1,ammophila,wasp,ammophila,"larger, silvery, red and black",,,,,,,
5.8.2018,365,BW,1,1,ammophila,wasp,ammophila,,,,,,,,
5.8.2018,379,BW,1,1,ammophila,wasp,ammophila,,,,,,,,
5.8.2018,380,AS,1,1,ammophila,wasp,ammophila,,,,,,,,
4.23.2018,50,SM,V,1,white faced eucera?,bee,anthophora,,,,,,,,
4.28.2018,183,SM,1,1,white face eucera - have voucher,bee,anthophora,,,,,,,,
4.30.2018,209,SM,1,1,white face eucera - have voucher,bee,anthophora,,,,,,,,
5.4.2018,262,SM,4,4,white face eucera - have voucher,bee,anthophora,got photos today,,,,,,,
4.27.2018,156,SC,many,many,ants,ant,ants,,,,,,,,
5.5.2018,291,AS,1,0,ants,ant,ants,"reddish head, small",,,,,,,
4.21.2018,9,PP,V,1,ashmeadiellia,bee,ashmeadiella,,,,,,,,
4.21.2018,17,PP,V,1,ashmeadiella?,bee,ashmeadiella,,,,,,,,
4.22.2018,27,PP,V,1,ashmeadiella,bee,ashmeadiella,,cactus meg,,,,,,
4.22.2018,31,PP,V,1,ashmeadiella,bee,ashmeadiella,,,,,,,,
4.23.2018,53,PP,V,1,ashmeadiella,bee,ashmeadiella,,,,,,,,
4.23.2018,55,PP,1,1,cactus meg,bee,ashmeadiella,,,,,,,,
4.23.2018,55,PP,V,1,ashmeadiella,bee,ashmeadiella,,,,,,,,
4.24.2018,70,PP,V,1,ashmeadiella,bee,ashmeadiella,,smaller,,,,,,
4.24.2018,87,SC,3,3,cactus meg,bee,ashmeadiella,,,,,,,,
4.24.2018,88,SC,2,2,cactus meg,bee,ashmeadiella,,,,,,,,
4.24.2018,93,SC,2,2,cactus meg,bee,ashmeadiella,,,,,,,,
4.25.2018,112,SC,4,4,ashmeadiella,bee,ashmeadiella,cactus meg,,,,,,,
4.25.2018,112,SC,V,2,ashmeadiella,bee,ashmeadiella,,,,,,,,
4.25.2018,114,SC,4,4,ashmeadiella,bee,ashmeadiella,cactus meg,,,,,,,
4.25.2018,119,SC,2,2,ashmeadiella,bee,ashmeadiella,,,,,,,,
4.26.2018,125,SC,1,1,ashmeadiella,bee,ashmeadiella,,,,,,,,
4.26.2018,126,SC,2,2,ashmeadiella,bee,ashmeadiella,,,,,,,,
4.26.2018,130,HH,1,1,ashmeadiella,bee,ashmeadiella,,,,,,,,
4.27.2018,139,SC,1,1,ashmeadiella,bee,ashmeadiella,,,,,,,,
4.27.2018,152,SC,2,2,ashmeadiella,bee,ashmeadiella,,,,,,,,
4.27.2018,156,SC,3,3,ashmeadiella,bee,ashmeadiella,,,,,,,,
4.28.2018,167,SC,2,2,ashmeadiella,bee,ashmeadiella,,,,,,,,
4.28.2018,182,LT,2,2,ashmeadiella,bee,ashmeadiella,,,,,,,,
4.28.2018,195,SD,1,1,"megachilidae, looks like ashmeadiella",bee,ashmeadiella,,,,,,,,
4.28.2018,196,SC,V,1,megachild?,bee,ashmeadiella,,,,,,,,
4.28.2018,196,SC,V,1,ashmeadiella,bee,ashmeadiella,,,,,,,,
5.3.2018,248,SC,V,2,ashmeadiella,bee,ashmeadiella,,looked like one could be different than usual,,,,,,
5.4.2018,268,SC,2,2,ashmeadiella,bee,ashmeadiella,cactus meg,,,,,,,
5.4.2018,285,SC,1,1,ashmeadiella,bee,ashmeadiella,cactus meg but looks less long,,,,,,,
5.4.2018,285,SC,V,1,ashmeadiella,bee,ashmeadiella,,all black,,,,,,
5.5.2018,288,SC,1,1,ashmeadiella,bee,ashmeadiella,,,,,,,,
5.5.2018,296,SC,7,7,ashmeadiella,bee,ashmeadiella,reg,,,,,,,
5.5.2018,296,SC,V,2,ashmeadiella,bee,ashmeadiella,,"one small, one reg",,,,,,
5.5.2018,298,SC,3,3,ashmeadiella,bee,ashmeadiella,reg,,,,,,,
5.5.2018,303,SC,9,9,ashmeadiella,bee,ashmeadiella,,,,,,,,
5.5.2018,311,SC,1,1,ashmeadiella,bee,ashmeadiella,,,,,,,,
