"","name","module","connectivity","participation","role","uniID"
"66","EC 107",0,0,0,"Ultra peripheral","EC 107"
"111","LT 109",0,0,0,"Ultra peripheral","LT 109"
"46","BW 235",1,-1.45565610477429,0.698060941828255,"Connector","BW 235"
"70","EC 12",1,-1.45565610477429,0.698060941828255,"Connector","EC 12"
"237","SM 161",1,-1.08071438081727,0.302866414277988,"Peripheral","SM 161"
"240","SM 237",1,-1.08071438081727,0.302866414277988,"Peripheral","SM 237"
"241","SM 262",1,-0.639606470279611,0.401576280728091,"Peripheral","SM 262"
"56","BW 352",1,-0.35288632843013,0.308390022675737,"Peripheral","BW 352"
"38","AS 380",1,-0.264664746322597,0.566666666666667,"Peripheral","AS 380"
"59","BW 365",1,-0.176443164215065,0.615916955017301,"Peripheral","BW 365"
"238","SM 183",1,-0.0441107910537659,0.327566320645905,"Peripheral","SM 183"
"51","BW 305",1,0.132332373161299,0.55395008444361,"Peripheral","BW 305"
"57","BW 354",1,0.176443164215066,0.508716656164671,"Peripheral","BW 354"
"58","BW 355",1,0.970437403182859,0.32,"Peripheral","BW 355"
"239","SM 209",1,1.03660358976351,0.43044848787491,"Peripheral","SM 209"
"62","BW 378",1,1.05865898529039,0.427221172022684,"Peripheral","BW 378"
"34","AS 361",1,1.05865898529039,0.5274,"Peripheral","AS 361"
"143","LT 320",1,2.11731797058078,0.332409972299169,"Peripheral","LT 320"
"177","PP 77",2,-1.02045111807371,0.28569376615915,"Peripheral","PP 77"
"166","PP 166",2,-1.02045111807371,0.417777777777778,"Peripheral","PP 166"
"180","PP 99",2,-1.02045111807371,0,"Ultra peripheral","PP 99"
"196","SC 202",2,-1.02045111807371,0,"Ultra peripheral","SC 202"
"199","SC 235",2,-1.02045111807371,0,"Ultra peripheral","SC 235"
"201","SC 256",2,-1.02045111807371,0,"Ultra peripheral","SC 256"
"214","SC 328",2,-1.02045111807371,0,"Ultra peripheral","SC 328"
"215","SC 335",2,-1.02045111807371,0,"Ultra peripheral","SC 335"
"222","SC 363",2,-1.02045111807371,0,"Ultra peripheral","SC 363"
"107","HH 364",2,-0.767547842974831,0,"Ultra peripheral","HH 364"
"176","PP 74",2,-0.76754784297483,0,"Ultra peripheral","PP 74"
"179","PP 97",2,-0.76754784297483,0,"Ultra peripheral","PP 97"
"198","SC 228",2,-0.76754784297483,0,"Ultra peripheral","SC 228"
"105","HH 130",2,-0.683246751275203,0,"Ultra peripheral","HH 130"
"165","PP 15",2,-0.683246751275203,0,"Ultra peripheral","PP 15"
"178","PP 9",2,-0.683246751275203,0,"Ultra peripheral","PP 9"
"205","SC 288",2,-0.683246751275203,0,"Ultra peripheral","SC 288"
"224","SC 382",2,-0.683246751275203,0,"Ultra peripheral","SC 382"
"231","SD 195",2,-0.683246751275203,0,"Ultra peripheral","SD 195"
"213","SC 326",2,-0.67270911481275,0.0464969713945589,"Ultra peripheral","SC 326"
"211","SC 314",2,-0.67270911481275,0.0682603194145207,"Peripheral","SC 314"
"174","PP 70",2,-0.651633841887843,0.248281965847563,"Peripheral","PP 70"
"186","SC 139",2,-0.651633841887843,0.248281965847563,"Peripheral","SC 139"
"195","SC 198",2,-0.519913386107177,0,"Ultra peripheral","SC 198"
"197","SC 207",2,-0.519913386107177,0,"Ultra peripheral","SC 207"
"106","HH 144",2,-0.519913386107176,0,"Ultra peripheral","HH 144"
"108","HH 4",2,-0.519913386107176,0,"Ultra peripheral","HH 4"
"187","SC 152",2,-0.261741292777068,0,"Ultra peripheral","SC 152"
"190","SC 167",2,-0.261741292777068,0,"Ultra peripheral","SC 167"
"203","SC 268",2,-0.261741292777068,0,"Ultra peripheral","SC 268"
"122","LT 182",2,-0.261741292777068,0.383979030339084,"Peripheral","LT 182"
"183","SC 119",2,-0.261741292777068,0,"Ultra peripheral","SC 119"
"185","SC 126",2,-0.261741292777068,0,"Ultra peripheral","SC 126"
"229","SC 93",2,-0.261741292777068,0,"Ultra peripheral","SC 93"
"228","SC 88",2,-0.240666019852161,0,"Ultra peripheral","SC 88"
"167","PP 17",2,-0.161633746383761,0,"Ultra peripheral","PP 17"
"184","SC 125",2,-0.161633746383761,0,"Ultra peripheral","SC 125"
"171","PP 31",2,-0.151096109921308,0.122629646396056,"Peripheral","PP 31"
"209","SC 311",2,-0.130020836996401,0.171031312841138,"Peripheral","SC 311"
"207","SC 298",2,0.154495347489841,0,"Ultra peripheral","SC 298"
"223","SC 374",2,0.154495347489841,0,"Ultra peripheral","SC 374"
"172","PP 53",2,0.154495347489841,0,"Ultra peripheral","PP 53"
"173","PP 55",2,0.154495347489841,0,"Ultra peripheral","PP 55"
"226","SC 385",2,0.259871712114375,0,"Ultra peripheral","SC 385"
"200","SC 248",2,0.259871712114375,0.358828423017612,"Peripheral","SC 248"
"221","SC 359",2,0.338903985582775,0,"Ultra peripheral","SC 359"
"182","SC 114",2,0.565463169525523,0,"Ultra peripheral","SC 114"
"194","SC 196",2,0.676108352381283,0,"Ultra peripheral","SC 196"
"188","SC 156",2,0.676108352381283,0.0254587285204004,"Ultra peripheral","SC 156"
"204","SC 285",2,0.69718362530619,0,"Ultra peripheral","SC 285"
"163","PP 124",2,0.855248172242992,0,"Ultra peripheral","PP 124"
"216","SC 341",2,0.981699809792432,0.0164602703085017,"Ultra peripheral","SC 341"
"170","PP 27",2,1.08707617441697,0,"Ultra peripheral","PP 27"
"218","SC 350",2,1.08707617441697,0,"Ultra peripheral","SC 350"
"220","SC 356",2,1.08707617441697,0,"Ultra peripheral","SC 356"
"227","SC 87",2,1.20825899373518,0.0948901961174652,"Peripheral","SC 87"
"219","SC 351",2,1.37159235890321,0,"Ultra peripheral","SC 351"
"212","SC 322",2,1.47169990529651,0.0137924382716049,"Ultra peripheral","SC 322"
"210","SC 312",2,1.76675372624521,0,"Ultra peripheral","SC 312"
"181","SC 112",2,1.78782899917012,0,"Ultra peripheral","SC 112"
"206","SC 296",2,2.92062491888386,0,"Peripheral Hub","SC 296"
"208","SC 303",2,4.04288320213514,0,"Peripheral Hub","SC 303"
"8","AS 177",3,0,0.277777777777778,"Peripheral","AS 177"
"24","AS 287",3,0,0.277777777777778,"Peripheral","AS 287"
"27","AS 299",3,0,0.277777777777778,"Peripheral","AS 299"
"69","EC 111",3,0,0.277777777777778,"Peripheral","EC 111"
"80","EC 190",3,0,0.277777777777778,"Peripheral","EC 190"
"33","AS 346",3,0,0.752551020408163,"Connector","AS 346"
"78","EC 187",4,-2.79203412326113,0.5,"Peripheral","EC 187"
"14","AS 231",4,0.284901441149094,0.545454545454546,"Peripheral","AS 231"
"79","EC 189",4,0.284901441149094,0.545454545454546,"Peripheral","EC 189"
"92","EC 258",4,0.284901441149094,0.545454545454546,"Peripheral","EC 258"
"96","EC 334",4,0.284901441149094,0.545454545454546,"Peripheral","EC 334"
"100","EC 67",4,0.284901441149094,0.545454545454546,"Peripheral","EC 67"
"104","EL 28",4,0.284901441149094,0.545454545454546,"Peripheral","EL 28"
"234","SD 255",4,0.284901441149094,0.545454545454546,"Peripheral","SD 255"
"90","EC 241",4,0.797724035217465,0.568047337278107,"Peripheral","EC 241"
"3","AS 113",5,-0.641533027871785,0.693333333333333,"Connector","AS 113"
"73","EC 146",5,-0.641533027871785,0.693333333333333,"Connector","EC 146"
"6","AS 142",5,-0.349927106111882,0.375,"Peripheral","AS 142"
"141","LT 316",5,-0.349927106111882,0.746227709190672,"Connector","LT 316"
"4","AS 127",5,1.98292026796733,0.714416896235078,"Connector","AS 127"
"1","AS  7",6,-0.445890083880628,0.252400548696845,"Peripheral","AS  7"
"10","AS 212",6,-0.445890083880628,0.252400548696845,"Peripheral","AS 212"
"12","AS 22",6,-0.445890083880628,0.252400548696845,"Peripheral","AS 22"
"20","AS 270",6,-0.445890083880628,0.252400548696845,"Peripheral","AS 270"
"25","AS 29",6,-0.445890083880628,0.252400548696845,"Peripheral","AS 29"
"40","AS 44",6,-0.445890083880628,0.252400548696845,"Peripheral","AS 44"
