"","Date","Site","Waypoint","Species","Height","N.flowers","Time","NN","NN.id","dist.lar","LT","AS","EC","SD","SM","SC","PP","HH","EL","LOTUS","BW","uniID","Quantity","density","shrub.density","cactus.density","con.density","het.density","site.density","site.shrub.density","site.cactus.density"
"1","4.21.2018","low",1,"PP",20,5,NA,450,"AS",2330,0,0,0,0,0,0,0,0,0,0,0,"PP 1",0,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0
"2","4.21.2018","low",2,"PP",19,11,NA,1110,"HH",1220,0,0,0,0,0,0,0,0,0,0,0,"PP 2",4,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0
"3","4.21.2018","low",3,"LT",185,45,NA,95,"LT",95,1,0,0,0,0,0,0,1,0,0,0,"LT 3",3,2,1,1,1,0,0.0194444444444444,0.0194444444444444,0
"4","4.21.2018","low",4,"HH",25,2,NA,275,"LT",275,0,0,0,0,0,0,0,0,0,0,0,"HH 4",2,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0
"5","4.21.2018","low",5,"LT",175,72,NA,160,"LT",160,2,0,0,0,0,0,0,0,0,0,0,"LT 5",0,2,2,0,2,0,0.0194444444444444,0.0194444444444444,0
"6","4.21.2018","low",6,"LT",125,73,NA,130,"LT",130,1,2,0,0,0,0,0,0,0,0,0,"LT 6",4,3,3,0,1,2,0.0194444444444444,0.0194444444444444,0
"7","4.21.2018","low",7,"AS",49,4,NA,55,"AS",810,0,0,0,0,0,0,0,0,0,0,0,"AS 7",0,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0
"8","4.21.2018","low",8,"AS",39,9,NA,575,"EC",725,0,0,0,0,0,0,0,0,0,0,0,"AS 8",0,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0
"9","4.21.2018","low",9,"PP",24,2,NA,30,"PP",560,0,0,1,0,0,0,1,0,0,0,0,"PP 9",1,2,1,1,0,1,0.0194444444444444,0.0194444444444444,0
"10","4.21.2018","low",10,"EC",46,264,NA,270,"EC",690,0,0,1,0,0,0,0,0,0,0,0,"EC 10",1,1,1,0,1,0,0.0194444444444444,0.0194444444444444,0
"11","4.21.2018","low",11,"EC",55,135,NA,150,"EC",630,0,0,4,0,0,0,0,0,0,0,0,"EC 11",2,4,4,0,4,0,0.0194444444444444,0.0194444444444444,0
"12","4.21.2018","low",12,"EC",57,185,NA,120,"EC",390,0,1,3,0,0,0,0,0,0,0,0,"EC 12",2,4,4,0,3,1,0.0194444444444444,0.0194444444444444,0
"13","4.21.2018","low",13,"LT",275,131,NA,100,"LT",100,1,0,3,0,0,0,0,0,0,0,0,"LT 13",3,4,4,0,1,3,0.0194444444444444,0.0194444444444444,0
"14","4.21.2018","low",14,"AS",35,4,NA,200,"AS",970,0,1,0,0,0,0,0,0,0,0,0,"AS 14",0,1,1,0,1,0,0.0194444444444444,0.0194444444444444,0
"15","4.21.2018","low",15,"PP",18,2,NA,310,"EL",1240,0,0,0,0,0,0,0,0,0,0,0,"PP 15",1,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0
"16","4.21.2018","up",16,"SD",38,12,NA,68,"SD",5780,0,0,0,1,0,0,0,0,0,0,0,"SD 16",0,1,1,0,1,0,0.0194444444444444,0.0194444444444444,0
"17","4.21.2018","up",17,"PP",29,2,NA,600,"EC",17165,0,0,0,0,0,0,0,0,0,0,0,"PP 17",2,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0
"18","4.21.2018","up",18,"PP",28,3,NA,1810,"PP",20880,0,0,0,0,0,0,0,0,0,0,0,"PP 18",0,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0
"19","4.21.2018","up",19,"EL",75,24,NA,595,"PP",38845,0,0,0,0,0,0,0,0,0,0,0,"EL 19",0,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0
"20","4.21.2018","up",20,"EL",68,27,NA,145,"EC",38845,0,0,0,0,0,0,0,0,3,0,0,"EL 20",0,3,3,0,3,0,0.0194444444444444,0.0194444444444444,0
"21","4.22.2018","up",21,"PP",22,1,NA,100,"PP",20880,0,0,0,0,0,0,1,0,0,0,0,"PP 21",0,1,0,1,0,0,NA,NA,NA
"22","4.22.2018","up",22,"AS",56,82,NA,965,"PP",NA,0,0,0,0,0,0,0,0,0,0,0,"AS 22",1,0,0,0,0,0,NA,NA,NA
"23","4.22.2018","up",23,"EC",45,180,NA,230,"EC",15090,0,0,1,0,0,0,0,0,0,0,0,"EC 23",11,1,1,0,1,0,NA,NA,NA
"24","4.22.2018","up",24,"PP",30,2,NA,495,"SD",15500,0,0,0,0,0,0,0,0,0,0,0,"PP 24",0,0,0,0,0,0,NA,NA,NA
"25","4.22.2018","low",25,"SD",50,29,NA,285,"SD",520,0,0,0,1,0,0,0,0,0,0,0,"SD 25",1,1,1,0,1,0,NA,NA,NA
"26","4.22.2018","low",26,"AS",54,56,1035,245,"AS",1100,0,2,0,0,0,0,0,0,0,0,0,"AS 26",3,2,2,0,2,0,NA,NA,NA
"27","4.22.2018","low",27,"PP",32,3,1050,170,"AS",2430,0,2,0,0,0,0,0,0,0,0,0,"PP 27",4,2,2,0,0,2,NA,NA,NA
"28","4.22.2018","low",28,"EL",56,117,1104,160,"AS",2570,0,2,0,0,0,0,0,0,0,0,0,"EL 28",1,2,2,0,0,2,NA,NA,NA
"29","4.22.2018","low",29,"AS",49,29,1119,690,"AS",2250,0,1,0,0,0,0,0,0,0,0,0,"AS 29",1,1,1,0,1,0,NA,NA,NA
"30","4.22.2018","low",30,"LT",165,46,1133,80,"LT",80,2,0,0,0,0,0,0,0,0,0,0,"LT 30",1,2,2,0,2,0,NA,NA,NA
"31","4.22.2018","low",31,"PP",28,7,1157,230,"AS",570,0,4,0,0,0,0,0,0,0,0,0,"PP 31",4,4,4,0,0,4,NA,NA,NA
"32","4.22.2018","low",32,"AS",4,9,1210,40,"AS",680,0,4,0,0,0,0,0,0,0,0,0,"AS 32",0,4,4,0,4,0,NA,NA,NA
"33","4.22.2018","low",33,"LT",290,120,1225,75,"LT",75,1,0,0,0,0,0,0,0,0,0,0,"LT 33",4,1,1,0,1,0,NA,NA,NA
"34","4.22.2018","low",34,"EC",39,38,1247,90,"AS",450,0,1,0,0,0,0,0,0,0,0,0,"EC 34",0,1,1,0,0,1,NA,NA,NA
"35","4.22.2018","low",35,"LT",155,44,1258,160,"AS",685,0,1,0,0,0,0,0,0,0,0,0,"LT 35",1,1,1,0,0,1,NA,NA,NA
"36","4.22.2018","low",36,"EC",47,20,128,200,"AS",990,0,1,1,0,0,0,0,0,0,0,0,"EC 36",0,2,2,0,1,1,NA,NA,NA
"37","4.22.2018","low",37,"AS",40,12,139,200,"EC",1180,0,0,1,0,0,0,0,0,0,0,0,"AS 37",0,1,1,0,0,1,NA,NA,NA
"38","4.22.2018","low",38,"LT",200,91,152,95,"LT",95,2,0,0,0,0,0,0,0,0,0,0,"LT 38",2,2,2,0,2,0,NA,NA,NA
"39","4.22.2018","low",39,"AS",37,5,207,96,"AS",135,1,2,0,0,0,0,0,0,0,0,0,"AS 39",0,3,3,0,2,1,NA,NA,NA
"40","4.22.2018","low",40,"LT",190,76,219,0,"AS",365,1,2,0,0,0,0,0,0,0,0,0,"LT 40",0,3,3,0,1,2,NA,NA,NA
"41","4.22.2018","low",41,"EC",55,105,234,170,"EC",595,0,0,1,0,0,0,0,0,0,0,0,"EC 41",0,1,1,0,1,0,NA,NA,NA
"42","4.22.2018","low",42,"EC",30,70,256,300,"LT",300,1,0,0,0,0,0,0,0,0,0,0,"EC 42",0,1,1,0,0,1,NA,NA,NA
"43","4.22.2018","low",43,"EC",46,112,308,290,"EC",590,0,0,3,0,0,0,0,0,0,0,0,"EC 43",1,3,3,0,3,0,NA,NA,NA
"44","4.22.2018","LOW",44,"AS",60,16,335,360,"EC",490,0,0,0,0,0,0,0,0,0,0,0,"AS 44",1,0,0,0,0,0,NA,NA,NA
"45","4.22.2018","UP",45,"EC",59,64,357,105,"SD",11050,0,0,0,1,2,0,0,0,0,0,0,"EC 45",0,3,3,0,0,3,NA,NA,NA
"46","4.22.2018","UP",46,"SM",60,46,408,430,"EC",11170,0,0,0,0,0,0,0,0,0,0,0,"SM 46",0,0,0,0,0,0,NA,NA,NA
"47","4.23.2018","UP",47,"AS",57,90,923,870,"PP",19825,0,0,0,0,0,0,0,0,0,0,0,"AS 47",3,0,0,0,0,0,0.05,0.05,0
"48","4.23.2018","UP",48,"SD",54,11,952,52,"SD",8200,0,0,0,8,0,0,0,0,0,0,0,"SD 48",0,8,8,0,8,0,0.05,0.05,0
"49","4.23.2018","UP",49,"SD",60,12,1001,20,"SD",NA,0,0,0,2,0,0,0,0,0,0,0,"SD 49",2,2,2,0,2,0,0.05,0.05,0
"50","4.23.2018","UP",50,"SM",70,24,1016,35,"SM",5560,0,0,0,3,5,0,0,0,0,0,0,"SM 50",2,8,8,0,5,3,0.05,0.05,0
"51","4.23.2018","UP",51,"SM",64,19,1031,35,"SM",5350,0,0,0,2,0,0,0,0,0,0,0,"SM 51",0,2,2,0,0,2,0.05,0.05,0
"52","4.23.2018","UP",52,"SD",83,97,1043,115,"SD",4690,0,0,0,3,4,0,0,0,0,0,0,"SD 52",7,7,7,0,3,4,0.05,0.05,0
"53","4.23.2018",NA,53,"PP",34,3,1103,5,"SM",NA,0,0,0,0,2,0,0,0,0,1,0,"PP 53",2,3,3,0,0,3,0.05,0.05,0
"54","4.23.2018","low",54,"AS",52,49,1115,166,"AS",1010,0,3,0,0,0,0,0,0,0,0,0,"AS 54",5,3,3,0,3,0,0.05,0.05,0
"55","4.23.2018","low",55,"PP",23,1,1151,200,"LT",200,0,0,0,0,0,0,0,0,0,0,0,"PP 55",2,0,0,0,0,0,0.05,0.05,0
"56","4.23.2018","low",56,"AS",62,33,1207,20,"AS",980,0,3,0,0,0,0,0,0,0,0,0,"AS 56",0,3,3,0,3,0,0.05,0.05,0
"57","4.23.2018","low",57,"LT",250,94,1220,470,"AS",NA,0,0,0,0,0,0,0,0,0,0,0,"LT 57",0,0,0,0,0,0,0.05,0.05,0
"58","4.23.2018","low",58,"LT",160,53,1233,340,"AS",810,0,0,0,0,0,0,0,0,0,0,0,"LT 58",0,0,0,0,0,0,0.05,0.05,0
"59","4.23.2018","low",59,"EC",40,103,111,290,"LT",290,1,0,0,0,0,0,0,0,0,0,0,"EC 59",0,1,1,0,0,1,0.05,0.05,0
"60","4.23.2018","low",60,"AS",42,9,122,415,"EC",750,0,0,0,0,0,0,0,0,0,0,0,"AS 60",0,0,0,0,0,0,0.05,0.05,0
"61","4.23.2018","low",61,"LT",170,90,142,570,"LT",570,0,0,0,0,0,0,0,0,0,0,0,"LT 61",2,0,0,0,0,0,0.05,0.05,0
